rho_de,rho_cp,alpha,gamma,epsilon,acc,prec,rec
50, 250, 0.1, 0.5, 0.01, 0.723404255319149, 0.5625, 0.6
50, 250, 0.1, 0.5, 0.05, 0.7872340425531915, 0.6, 1.0
50, 250, 0.1, 0.5, 0.1, 0.7872340425531915, 0.6, 1.0
50, 250, 0.1, 0.5, 0.15, 0.6595744680851063, 0.4827586206896552, 0.9333333333333333
50, 250, 0.1, 0.6, 0.01, 0.5869565217391305, 0.4074074074074074, 0.7857142857142857
50, 250, 0.1, 0.6, 0.05, 0.6595744680851063, 0.48148148148148145, 0.8666666666666667
50, 250, 0.1, 0.6, 0.1, 0.6808510638297872, 0.5, 1.0
50, 250, 0.1, 0.6, 0.15, 0.7446808510638298, 0.5555555555555556, 1.0
50, 250, 0.1, 0.7, 0.01, 0.6382978723404256, 0.4, 0.26666666666666666
50, 250, 0.1, 0.7, 0.05, 0.6739130434782609, 0.48148148148148145, 0.9285714285714286
50, 250, 0.1, 0.7, 0.1, 0.6808510638297872, 0.5, 1.0
50, 250, 0.1, 0.7, 0.15, 0.7021276595744681, 0.5172413793103449, 1.0
50, 500, 0.01, 0.5, 0.01, 0.6170212765957447, 0.4117647058823529, 0.4666666666666667
50, 500, 0.01, 0.5, 0.05, 0.5957446808510638, 0.4375, 0.9333333333333333
50, 500, 0.01, 0.5, 0.1, 0.6382978723404256, 0.46875, 1.0
50, 500, 0.01, 0.5, 0.15, 0.5531914893617021, 0.4166666666666667, 1.0
50, 500, 0.01, 0.6, 0.01, 0.7021276595744681, 0.52, 0.8666666666666667
50, 500, 0.01, 0.6, 0.05, 0.6808510638297872, 0.5, 0.8666666666666667
50, 500, 0.01, 0.6, 0.1, 0.7021276595744681, 0.5185185185185185, 0.9333333333333333
50, 500, 0.01, 0.6, 0.15, 0.46808510638297873, 0.3684210526315789, 0.9333333333333333
50, 500, 0.01, 0.7, 0.01, 0.6808510638297872, 0.5, 0.6666666666666666
50, 500, 0.01, 0.7, 0.05, 0.6739130434782609, 0.48148148148148145, 0.9285714285714286
50, 500, 0.01, 0.7, 0.1, 0.6170212765957447, 0.4482758620689655, 0.8666666666666667
50, 500, 0.01, 0.7, 0.15, 0.5319148936170213, 0.4, 0.9333333333333333
50, 500, 0.05, 0.5, 0.01, 0.6304347826086957, 0.4444444444444444, 0.8571428571428571
50, 500, 0.05, 0.5, 0.05, 0.7021276595744681, 0.5172413793103449, 1.0
50, 500, 0.05, 0.5, 0.1, 0.574468085106383, 0.42857142857142855, 1.0
50, 500, 0.05, 0.5, 0.15, 0.5106382978723404, 0.38235294117647056, 0.8666666666666667
50, 500, 0.05, 0.6, 0.01, 0.7659574468085106, 0.6111111111111112, 0.7333333333333333
50, 500, 0.05, 0.6, 0.05, 0.6382978723404256, 0.4666666666666667, 0.9333333333333333
50, 500, 0.05, 0.6, 0.1, 0.5957446808510638, 0.4375, 0.9333333333333333
50, 500, 0.05, 0.6, 0.15, 0.5319148936170213, 0.4, 0.9333333333333333
50, 500, 0.05, 0.7, 0.01, 0.7021276595744681, 0.5238095238095238, 0.7333333333333333
50, 500, 0.05, 0.7, 0.05, 0.6170212765957447, 0.4482758620689655, 0.8666666666666667
50, 500, 0.05, 0.7, 0.1, 0.6170212765957447, 0.45454545454545453, 1.0
50, 500, 0.05, 0.7, 0.15, 0.5319148936170213, 0.4, 0.9333333333333333
50, 500, 0.1, 0.5, 0.01, 0.6521739130434783, 0.47368421052631576, 0.6
50, 500, 0.1, 0.5, 0.05, 0.6170212765957447, 0.45454545454545453, 1.0
50, 500, 0.1, 0.5, 0.1, 0.5531914893617021, 0.4117647058823529, 0.9333333333333333
50, 500, 0.1, 0.5, 0.15, 0.574468085106383, 0.42857142857142855, 1.0
50, 500, 0.1, 0.6, 0.01, 0.7391304347826086, 0.5789473684210527, 0.7333333333333333
50, 500, 0.1, 0.6, 0.05, 0.6808510638297872, 0.5, 1.0
50, 500, 0.1, 0.6, 0.1, 0.5531914893617021, 0.40625, 0.8666666666666667
50, 500, 0.1, 0.6, 0.15, 0.5106382978723404, 0.3888888888888889, 0.9333333333333333
50, 500, 0.1, 0.7, 0.01, 0.7659574468085106, 0.6, 0.8
50, 500, 0.1, 0.7, 0.05, 0.5106382978723404, 0.38235294117647056, 0.8666666666666667
50, 500, 0.1, 0.7, 0.1, 0.574468085106383, 0.42857142857142855, 1.0
50, 500, 0.1, 0.7, 0.15, 0.44680851063829785, 0.36585365853658536, 1.0
100, 50, 0.01, 0.5, 0.01, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.5, 0.05, 0.6956521739130435, 1.0, 0.06666666666666667
100, 50, 0.01, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.6, 0.01, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.6, 0.05, 0.6956521739130435, 0.0, 0.0
100, 50, 0.01, 0.6, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.7, 0.01, 0.7111111111111111, 0.0, 0.0
100, 50, 0.01, 0.7, 0.05, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.01, 0.7, 0.15, 0.6956521739130435, 0.0, 0.0
100, 50, 0.05, 0.5, 0.01, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.5, 0.05, 0.6739130434782609, 0.0, 0.0
100, 50, 0.05, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.6, 0.01, 0.6739130434782609, 0.0, 0.0
100, 50, 0.05, 0.6, 0.05, 0.6956521739130435, 0.0, 0.0
100, 50, 0.05, 0.6, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.7, 0.01, 0.6976744186046512, 0.0, 0.0
100, 50, 0.05, 0.7, 0.05, 0.6739130434782609, 0.0, 0.0
100, 50, 0.05, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.05, 0.7, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.5, 0.01, 0.6739130434782609, 0.0, 0.0
100, 50, 0.1, 0.5, 0.05, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.5, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.6, 0.01, 0.6739130434782609, 0.0, 0.0
100, 50, 0.1, 0.6, 0.05, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.6, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.6, 0.15, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.7, 0.01, 0.6739130434782609, 0.0, 0.0
100, 50, 0.1, 0.7, 0.05, 0.6956521739130435, 0.0, 0.0
100, 50, 0.1, 0.7, 0.1, 0.6808510638297872, 0.0, 0.0
100, 50, 0.1, 0.7, 0.15, 0.6808510638297872, 0.0, 0.0
100, 100, 0.01, 0.5, 0.01, 0.7333333333333333, 0.75, 0.21428571428571427
100, 100, 0.01, 0.5, 0.05, 0.6808510638297872, 0.5, 0.06666666666666667
100, 100, 0.01, 0.5, 0.1, 0.6808510638297872, 0.0, 0.0
